sentence,pattern,cmi,num_switches,language_tags
mera dost show dekha kya,hindi_matrix_english_np,0.200,2,HI HI EN HI HI
main khush hoon . I didn't expect the gym itna achha hoga,emotional_expression,0.500,2,HI HI HI EN EN EN EN EN EN HI HI HI
"toh , I can't believe this decision itna lamba tha",emotional_expression,0.400,2,HI EN EN EN EN EN EN HI HI HI
Let's discuss this thodi der mein after the presentation,english_matrix_hindi_np,0.333,2,EN EN EN HI HI HI EN EN EN
"sun na , I think the code review is interesting",tag_switching,0.200,1,HI HI EN EN EN EN EN EN EN EN
The one-on-one got send jaldi se,english_matrix_hindi_np,0.333,1,EN EN EN EN HI HI
"ek kaam karo , let's just share it abhi",tag_switching,0.444,2,HI HI HI EN EN EN EN EN HI
"The idea was serious , ek kaam karo",tag_switching,0.375,1,EN EN EN EN EN HI HI HI
hum recipe lena bhool gaya,hindi_matrix_english_np,0.200,2,HI EN HI HI HI
"Honestly, main yeh class se thak gaya hoon",tag_switching,0.250,3,EN HI HI EN HI HI HI HI
"arre , the app is complicated",tag_switching,0.167,1,HI EN EN EN EN EN
"arre , the degree is helpful",tag_switching,0.167,1,HI EN EN EN EN EN
"Sach mein, this password ne mujhe itna khush kar diya",emotional_expression,0.200,2,HI HI EN EN HI HI HI HI HI HI
main soch raha tha. The decision is really short,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
end of month tak payment kar dena,numerical_entity,0.429,1,EN EN EN HI HI HI HI
"Honestly, main yeh burger se thak gaya hoon",tag_switching,0.250,3,EN HI HI EN HI HI HI HI
main pehle connect karke aata hoon,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
Itna stress hai raat ko se,emotional_expression,0.167,2,HI EN HI HI HI HI
hum lunch ke liye kahan chalein kal,everyday_conversation,0.143,2,HI EN HI HI HI HI HI
Please yeh like mat karo baad mein,hindi_matrix_english_verb,0.143,2,HI HI EN HI HI HI HI
hum soch raha tha. The routine is really easy,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
"Honestly, main yeh presentation se thak gaya hoon",tag_switching,0.250,3,EN HI HI EN HI HI HI HI
Itna stress hai jaldi se se,emotional_expression,0.167,2,HI EN HI HI HI HI
"theek hai , main yeh follow-up finish kar dunga",tag_switching,0.444,2,HI HI EN EN EN EN HI HI HI
"Honestly, main yeh salad se thak gaya hoon",tag_switching,0.250,3,EN HI HI EN HI HI HI HI
Aaj raat caption ka plan kya hai,hindi_matrix_english_np,0.143,2,HI HI EN HI HI HI HI
Friday evening ko 4:30 PM tak submit karna hai,numerical_entity,0.444,3,EN EN HI EN EN HI HI HI HI
Isko fix karna hai baad mein,hindi_matrix_english_verb,0.167,2,HI EN HI HI HI HI
"toh , the semester is helpful",tag_switching,0.167,1,HI EN EN EN EN EN
"Pehle manage karo, phir baat karte hain",hindi_matrix_english_verb,0.143,2,HI EN HI HI HI HI HI
This plan is difficult . Mujhe nahi pasand,inter_sentential,0.375,1,EN EN EN EN EN HI HI HI
Please send me the project kal,english_matrix_hindi_np,0.167,1,EN EN EN EN EN HI
"I'll comment it aaj , don't worry",english_matrix_hindi_np,0.143,2,EN EN EN HI EN EN EN
yeh sunke bura laga after the decision,emotional_expression,0.429,1,HI HI HI HI EN EN EN
Yeh vlog ekdum good tha,hindi_matrix_english_np,0.400,4,HI EN HI EN HI
Kal 6 PM baje call hai,numerical_entity,0.500,4,HI EN EN HI EN HI
25th din bacha hai deadline tak,numerical_entity,0.167,1,EN HI HI HI HI HI
"Aaj internet bahut zyada slow hai, kaam nahi ho raha",everyday_conversation,0.200,4,HI EN HI HI EN HI HI HI HI HI
Kal meeting hai. Make sure you reschedule the decision,inter_sentential,0.333,1,HI HI HI EN EN EN EN EN EN
Yeh delivery bahut perfect lag raha hai,hindi_matrix_english_np,0.286,4,HI EN HI EN HI HI HI
Yeh kaam ho gaya. Now let's focus on the playlist,inter_sentential,0.400,1,HI HI HI HI EN EN EN EN EN EN
The bug is not working. Kya karein ab,inter_sentential,0.375,1,EN EN EN EN EN HI HI HI
"The team standup is due parso , please check",english_matrix_hindi_np,0.111,2,EN EN EN EN EN HI EN EN EN
Kya tum prioritize kar sakte ho,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
Make sure you discuss the timeline parso,english_matrix_hindi_np,0.143,1,EN EN EN EN EN EN HI
Jaldi se connect kar do,hindi_matrix_english_verb,0.200,2,HI HI EN HI HI
"The review was terrible , sach mein",tag_switching,0.286,1,EN EN EN EN EN HI HI
Samajh nahi aa raha. The API keeps giving errors,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
"Honestly, main yeh cheat day se thak gaya hoon",tag_switching,0.333,3,EN HI HI EN EN HI HI HI HI
"sun na , I think the sprint is short",tag_switching,0.222,1,HI HI EN EN EN EN EN EN EN
Tera like thoda viral ho gaya,hindi_matrix_english_np,0.333,4,HI EN HI EN HI HI
Can you comment this kal ?,english_matrix_hindi_np,0.167,2,EN EN EN EN HI EN
"theek hai , I can't believe this password itna lamba tha",emotional_expression,0.455,2,HI HI EN EN EN EN EN EN HI HI HI
main khud message kar lunga,hindi_matrix_english_verb,0.200,2,HI HI EN HI HI
"The update is due abhi , please check",english_matrix_hindi_np,0.125,2,EN EN EN EN HI EN EN EN
main timeline aaj tak bhej dunga,hindi_matrix_english_np,0.167,2,HI EN HI HI HI HI
"sun na , I can't believe this break itna lamba tha",emotional_expression,0.455,2,HI HI EN EN EN EN EN EN HI HI HI
"haan , this cheat day needs to be escalate kal",tag_switching,0.200,2,HI EN EN EN EN EN EN EN EN HI
hum work from home kar raha hoon pichhli baar,everyday_conversation,0.333,2,HI EN EN EN HI HI HI HI HI
"Pehle discuss karo, phir baat karte hain",hindi_matrix_english_verb,0.143,2,HI EN HI HI HI HI HI
Mera laptop slow ho gaya hai,everyday_conversation,0.333,2,HI EN EN HI HI HI
"sun na , I think the pull request is random",tag_switching,0.200,1,HI HI EN EN EN EN EN EN EN EN
tension ho rahi hai . I didn't expect the weekend itna achha hoga,emotional_expression,0.462,3,EN HI HI HI EN EN EN EN EN EN HI HI HI
Please send me the status update baad mein,english_matrix_hindi_np,0.250,1,EN EN EN EN EN EN HI HI
"dekho , can you update this pehle ?",tag_switching,0.250,3,HI EN EN EN EN EN HI EN
Please send me the one-on-one abhi,english_matrix_hindi_np,0.167,1,EN EN EN EN EN HI
This subscription is quick . Mujhe nahi pasand,inter_sentential,0.375,1,EN EN EN EN EN HI HI HI
Kal 4 PM baje call hai,numerical_entity,0.500,4,HI EN EN HI EN HI
Yeh naya app bahut zyada useful hai,everyday_conversation,0.286,4,HI HI EN HI HI EN HI
We need to connect this pehle,english_matrix_hindi_np,0.167,1,EN EN EN EN EN HI
Bahut thak gaya hoon. This password is not helping,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
Jaldi se charge kar do,hindi_matrix_english_verb,0.200,2,HI HI EN HI HI
Kal party mein thoda fun tha,everyday_conversation,0.333,4,HI EN HI HI EN HI
"main follow karta hoon, tum dekho",hindi_matrix_english_verb,0.167,2,HI EN HI HI HI HI
main yeh watch karna chahta hoon,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
main review pe kaam kar raha hoon,hindi_matrix_english_np,0.143,2,HI EN HI HI HI HI HI
Aaj ka Google Meet wala sprint baad mein shift ho gaya,numerical_entity,0.273,4,HI HI EN EN HI EN HI HI HI HI HI
"waise , let's just follow it baad mein",tag_switching,0.375,2,HI EN EN EN EN EN HI HI
Yeh cancel karna zaroori hai,hindi_matrix_english_verb,0.200,2,HI EN HI HI HI
hum soch raha tha. The vibe is really random,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
"Kal flight hai, main packing nahi ki abhi tak",everyday_conversation,0.111,2,HI EN HI HI HI HI HI HI HI
Kal 9:30 AM baje call hai,numerical_entity,0.500,4,HI EN EN HI EN HI
Yeh kaam ho gaya. Now let's focus on the review,inter_sentential,0.400,1,HI HI HI HI EN EN EN EN EN EN
"Main diet pe hoon, isliye dessert nahi lunga",everyday_conversation,0.250,4,HI EN HI HI HI EN HI HI
WhatsApp pe 2 PM par milte hain,numerical_entity,0.429,3,EN HI EN EN HI HI HI
main khud escalate kar lunga,hindi_matrix_english_verb,0.200,2,HI HI EN HI HI
Jaldi se order kar do,hindi_matrix_english_verb,0.200,2,HI HI EN HI HI
20th tak payment kar dena,numerical_entity,0.200,1,EN HI HI HI HI
hum soch raha tha. The idea is really perfect,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
Is syllabus ke liye bilkul taiyar nahi hoon,hindi_matrix_english_np,0.125,2,HI EN HI HI HI HI HI HI
budget Monday ko 6 PM par hai,numerical_entity,0.429,3,EN EN HI EN EN HI HI
"Aaj 20th tarikh hai, kal deadline hai",numerical_entity,0.143,2,HI EN HI HI HI HI HI
"Yaar, this restaurant ka khana bahut good hai",everyday_conversation,0.375,4,HI EN EN HI HI HI EN HI
Aaj traffic itna bad tha,everyday_conversation,0.400,4,HI EN HI EN HI
hum lunch ke liye kahan chalein parso,everyday_conversation,0.143,2,HI EN HI HI HI HI HI
Is Tuesday ko chhutti hai kya,numerical_entity,0.167,2,HI EN HI HI HI HI
"Honestly, main yeh client call se thak gaya hoon",tag_switching,0.333,3,EN HI HI EN EN HI HI HI HI
report next Monday ko 1 PM par hai,numerical_entity,0.375,3,EN EN EN HI EN EN HI HI
The timeline got cancelled. hum khush hoon,inter_sentential,0.429,1,EN EN EN EN HI HI HI
"I'll connect it aaj , don't worry",english_matrix_hindi_np,0.143,2,EN EN EN HI EN EN EN
Can you upload this baad mein ?,english_matrix_hindi_np,0.286,2,EN EN EN EN HI HI EN
Kal 11 AM baje call hai,numerical_entity,0.500,4,HI EN EN HI EN HI
"main password bhool gaya, ab kya karoon",everyday_conversation,0.143,2,HI EN HI HI HI HI HI
"hum cab book kar liya, aaj aa jaega",everyday_conversation,0.125,2,HI EN HI HI HI HI HI HI
Please send me the report parso,english_matrix_hindi_np,0.167,1,EN EN EN EN EN HI
"Sach keh raha hoon, this coffee best hai",emotional_expression,0.250,2,HI HI HI HI EN EN HI HI
"The presentation was terrible , arre",tag_switching,0.167,1,EN EN EN EN EN HI
tension ho rahi hai . I didn't expect the party itna achha hoga,emotional_expression,0.462,3,EN HI HI HI EN EN EN EN EN EN HI HI HI
"sun na , I think the timeline is simple",tag_switching,0.222,1,HI HI EN EN EN EN EN EN EN
"Sach mein, this break ne mujhe thoda khush kar diya",emotional_expression,0.200,2,HI HI EN EN HI HI HI HI HI HI
Aaj ka report cancel ho gaya,hindi_matrix_english_np,0.167,2,HI HI EN HI HI HI
Yeh sale mein bahut good deals the,everyday_conversation,0.429,4,HI EN HI HI EN EN HI
hum soch raha tha. The class is really optional,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
Mera presentation abhi hai,hindi_matrix_english_np,0.250,2,HI EN HI HI
The project got submit aaj shaam ko,english_matrix_hindi_np,0.429,1,EN EN EN EN HI HI HI
"suno , can you delegate this kal ?",tag_switching,0.250,3,HI EN EN EN EN EN HI EN
Let's discuss this raat ko after the feedback,english_matrix_hindi_np,0.250,2,EN EN EN HI HI EN EN EN
5th din bacha hai deadline tak,numerical_entity,0.167,1,EN HI HI HI HI HI
"The detox was valid , sach mein",tag_switching,0.286,1,EN EN EN EN EN HI HI
"The client call was important , matlab",tag_switching,0.143,1,EN EN EN EN EN EN HI
Tumhara app mujhe mil gaya,hindi_matrix_english_np,0.200,2,HI EN HI HI HI
"Honestly, main yeh project se thak gaya hoon",tag_switching,0.250,3,EN HI HI EN HI HI HI HI
Kal meeting hai. Make sure you confirm the feature,inter_sentential,0.333,1,HI HI HI EN EN EN EN EN EN
Itna stress hai aaj shaam ko se,emotional_expression,0.143,2,HI EN HI HI HI HI HI
Samajh nahi aa raha. The feature keeps giving errors,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
status update Sunday ko 9:30 AM par hai,numerical_entity,0.375,3,EN EN EN HI EN EN HI HI
Mera routine khatam ho gaya,hindi_matrix_english_np,0.200,2,HI EN HI HI HI
"I'll delegate it abhi , don't worry",english_matrix_hindi_np,0.143,2,EN EN EN HI EN EN EN
mera bhai yeh sunke bahut shocked ho gaya,emotional_expression,0.125,2,HI HI HI HI HI EN HI HI
"yaar , the feedback is helpful",tag_switching,0.167,1,HI EN EN EN EN EN
Bahut thak gaya hoon. This party is not helping,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
Could you please check the sprint aaj tak chahiye,english_matrix_hindi_np,0.333,1,EN EN EN EN EN EN HI HI HI
The budget got discuss kal subah,english_matrix_hindi_np,0.333,1,EN EN EN EN HI HI
Please yeh cancel mat karo baad mein,hindi_matrix_english_verb,0.143,2,HI HI EN HI HI HI HI
"theek hai , I think the budget is valid",tag_switching,0.222,1,HI HI EN EN EN EN EN EN EN
The feature is not working. Kya karein ab,inter_sentential,0.375,1,EN EN EN EN EN HI HI HI
Please yeh manage mat karo baad mein,hindi_matrix_english_verb,0.143,2,HI HI EN HI HI HI HI
"Pehle subscribe karo, phir baat karte hain",hindi_matrix_english_verb,0.143,2,HI EN HI HI HI HI HI
maza aa gaya . The routine was really easy,inter_sentential,0.333,1,HI HI HI EN EN EN EN EN EN
Kya tum search kar sakte ho,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
Yeh workout thodi si tough tha,everyday_conversation,0.333,4,HI EN HI HI EN HI
I have a review kal . main ready hoon,inter_sentential,0.333,5,EN EN EN EN HI EN HI EN HI
I finished the pull request . ekdum acha laga,inter_sentential,0.333,1,EN EN EN EN EN EN HI HI HI
meri friend phone ki battery thoda jaldi khatam hoti hai,everyday_conversation,0.200,4,HI HI EN HI EN HI HI HI HI HI
"waise , I can't believe this diet itna lamba tha",emotional_expression,0.400,2,HI EN EN EN EN EN EN HI HI HI
Mera team standup abhi bhi pending hai,hindi_matrix_english_np,0.286,2,HI EN EN HI HI HI HI
"The review is due kal , please check",english_matrix_hindi_np,0.125,2,EN EN EN EN HI EN EN EN
Is app mein problem aa rahi hai,hindi_matrix_english_np,0.143,2,HI EN HI HI HI HI HI
maza aa gaya . I didn't expect the order itna achha hoga,emotional_expression,0.500,2,HI HI HI EN EN EN EN EN EN HI HI HI
main yeh upload karna chahta hoon,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
mera dost subscription dekh ke ekdum khush ho gaya,emotional_expression,0.111,2,HI HI EN HI HI HI HI HI HI
Yeh kaam ho gaya. Now let's focus on the meeting,inter_sentential,0.400,1,HI HI HI HI EN EN EN EN EN EN
"The reel was boring , sun na",tag_switching,0.286,1,EN EN EN EN EN HI HI
Next next Friday ko interview hai,numerical_entity,0.333,3,EN EN EN HI EN HI
We need to review this abhi,english_matrix_hindi_np,0.167,1,EN EN EN EN EN HI
I was thinking we should fix the plan agli baar,english_matrix_hindi_np,0.200,1,EN EN EN EN EN EN EN EN HI HI
aap concert dekha kya,hindi_matrix_english_np,0.250,2,HI EN HI HI
tum profile dekh ke ekdum khush ho gaya,hindi_matrix_english_np,0.125,2,HI EN HI HI HI HI HI HI
"bata na , this cafe needs to be postpone baad mein",tag_switching,0.364,2,HI HI EN EN EN EN EN EN EN HI HI
tension ho rahi hai . The break was really boring,inter_sentential,0.300,2,EN HI HI HI EN EN EN EN EN EN
"hum zoom call pe tha, connection baar baar jaata tha",everyday_conversation,0.300,4,HI EN EN HI HI EN HI HI HI HI
Kal party mein bahut zyada fun tha,everyday_conversation,0.286,4,HI EN HI HI HI EN HI
"The sprint is due pehle , please check",english_matrix_hindi_np,0.125,2,EN EN EN EN HI EN EN EN
"I'll confirm it baad mein , don't worry",english_matrix_hindi_np,0.250,2,EN EN EN HI HI EN EN EN
aap exam lena bhool gaya,hindi_matrix_english_np,0.200,2,HI EN HI HI HI
"yaar , this syllabus needs to be confirm baad mein",tag_switching,0.300,2,HI EN EN EN EN EN EN EN HI HI
Itna stress hai jaldi se se,emotional_expression,0.167,2,HI EN HI HI HI HI
The update got cancelled. hum khush hoon,inter_sentential,0.429,1,EN EN EN EN HI HI HI
Let's discuss this thodi der mein after the report,english_matrix_hindi_np,0.333,2,EN EN EN HI HI HI EN EN EN
Is next Friday ko chhutti hai kya,numerical_entity,0.286,2,HI EN EN HI HI HI HI
"Sach keh raha hoon, this weekend best hai",emotional_expression,0.250,2,HI HI HI HI EN EN HI HI
Monday morning ko 11 AM tak submit karna hai,numerical_entity,0.444,3,EN EN HI EN EN HI HI HI HI
Kal 4:30 PM baje call hai,numerical_entity,0.500,4,HI EN EN HI EN HI
"The Netflix was complicated , ek kaam karo",tag_switching,0.375,1,EN EN EN EN EN HI HI HI
"yaar , this delivery needs to be send aaj",tag_switching,0.222,2,HI EN EN EN EN EN EN EN HI
hum yeh sunke zyada shocked ho gaya,emotional_expression,0.143,2,HI HI HI HI EN HI HI
Yeh escalate karna zaroori hai,hindi_matrix_english_verb,0.200,2,HI EN HI HI HI
Sunday ko 10 AM se 10:30 AM wala slot available hai,numerical_entity,0.455,5,EN HI EN EN HI EN EN HI HI HI HI
"haan , the timeline is short",tag_switching,0.167,1,HI EN EN EN EN EN
mujhe bohot achha laga after the phone,emotional_expression,0.429,1,HI HI HI HI EN EN EN
Aaj ka update cancel ho gaya,hindi_matrix_english_np,0.167,2,HI HI EN HI HI HI
Jaldi se handle kar do,hindi_matrix_english_verb,0.200,2,HI HI EN HI HI
Aaj ka presentation bahut lamba tha,hindi_matrix_english_np,0.167,2,HI HI EN HI HI HI
Kal party mein bilkul fun tha,everyday_conversation,0.333,4,HI EN HI HI EN HI
"sun na , let's just watch it parso",tag_switching,0.375,2,HI HI EN EN EN EN EN HI
"theek hai , this presentation needs to be share aaj",tag_switching,0.300,2,HI HI EN EN EN EN EN EN EN HI
meri behen review dekha kya,hindi_matrix_english_np,0.200,2,HI HI EN HI HI
"Pehle reschedule karo, phir baat karte hain",hindi_matrix_english_verb,0.143,2,HI EN HI HI HI HI HI
Kya tum book kar sakte ho,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
Kya tum charge kar sakte ho,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
"suno , the presentation is amazing",tag_switching,0.167,1,HI EN EN EN EN EN
tum song dekh ke ekdum khush ho gaya,emotional_expression,0.125,2,HI EN HI HI HI HI HI HI
This gym is easy . Mujhe nahi pasand,inter_sentential,0.375,1,EN EN EN EN EN HI HI HI
Kal 10 AM baje call hai,numerical_entity,0.500,4,HI EN EN HI EN HI
Kal meeting hai. Make sure you book the app,inter_sentential,0.333,1,HI HI HI EN EN EN EN EN EN
Yeh upload karna itna mushkil nahi hai,hindi_matrix_english_verb,0.143,2,HI EN HI HI HI HI HI
main khud send kar lunga,hindi_matrix_english_verb,0.200,2,HI HI EN HI HI
Tera comment zyada viral ho gaya,hindi_matrix_english_np,0.333,4,HI EN HI EN HI HI
"Sach keh raha hoon, this subscription best hai",emotional_expression,0.250,2,HI HI HI HI EN EN HI HI
"Honestly, main yeh team standup se thak gaya hoon",tag_switching,0.333,3,EN HI HI EN EN HI HI HI HI
Could you please book the budget kal tak chahiye,english_matrix_hindi_np,0.333,1,EN EN EN EN EN EN HI HI HI
The budget got manage agli baar,english_matrix_hindi_np,0.333,1,EN EN EN EN HI HI
Aaj ka one-on-one cancel ho gaya,hindi_matrix_english_np,0.167,2,HI HI EN HI HI HI
"dekho , I think the timeline is slow",tag_switching,0.125,1,HI EN EN EN EN EN EN EN
project Tuesday ko end of month ko reschedule ho gaya,numerical_entity,0.500,3,EN EN HI EN EN EN HI HI HI HI
Itna stress hai pichhli baar se,emotional_expression,0.167,2,HI EN HI HI HI HI
main khud manage kar lunga,hindi_matrix_english_verb,0.200,2,HI HI EN HI HI
"Honestly, main yeh app se thak gaya hoon",tag_switching,0.250,3,EN HI HI EN HI HI HI HI
"mera dost online order kiya tha, delivery parso aani chahiye",everyday_conversation,0.200,4,HI HI EN HI HI HI EN HI HI HI
"Sach keh raha hoon, this weekend best hai",emotional_expression,0.250,2,HI HI HI HI EN EN HI HI
I finished the sprint . bahut zyada acha laga,inter_sentential,0.444,1,EN EN EN EN EN HI HI HI HI
Next Friday evening ko interview hai,numerical_entity,0.333,3,EN EN EN HI EN HI
Next Friday evening ko interview hai,numerical_entity,0.333,3,EN EN EN HI EN HI
I finished the project . itna acha laga,inter_sentential,0.375,1,EN EN EN EN EN HI HI HI
Kal meeting hai. Make sure you escalate the update,inter_sentential,0.333,1,HI HI HI EN EN EN EN EN EN
Yeh lunch bahut long lag raha hai,hindi_matrix_english_np,0.286,4,HI EN HI EN HI HI HI
Kal 10 AM baje call hai,numerical_entity,0.500,4,HI EN EN HI EN HI
mera bhai order lena bhool gaya,hindi_matrix_english_np,0.167,2,HI HI EN HI HI HI
The report got delegate thodi der mein,english_matrix_hindi_np,0.429,1,EN EN EN EN HI HI HI
pagal ho jaaunga . The problem was really interesting,inter_sentential,0.333,1,HI HI HI EN EN EN EN EN EN
"ek kaam karo , main yeh selfie finish kar dunga",tag_switching,0.400,2,HI HI HI EN EN EN EN HI HI HI
"Honestly, main yeh group se thak gaya hoon",tag_switching,0.250,3,EN HI HI EN HI HI HI HI
Is feature mein problem aa rahi hai,hindi_matrix_english_np,0.143,2,HI EN HI HI HI HI HI
"Aaj coffee peeni hai, hum aa raha hai kya",everyday_conversation,0.111,2,HI EN HI HI HI HI HI HI HI
main pehle connect karke aata hoon,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
"dekho , the update is important",tag_switching,0.167,1,HI EN EN EN EN EN
Isko share karna hai kal,hindi_matrix_english_verb,0.200,2,HI EN HI HI HI
"Sach mein, this plan ne mujhe thodi si khush kar diya",emotional_expression,0.182,2,HI HI EN EN HI HI HI HI HI HI HI
"waise , this deployment needs to be discuss parso",tag_switching,0.222,2,HI EN EN EN EN EN EN EN HI
Mera routine khatam ho gaya,hindi_matrix_english_np,0.200,2,HI EN HI HI HI
"sach mein , the report is optional",tag_switching,0.286,1,HI HI EN EN EN EN EN
"yaar , can you reset this parso ?",tag_switching,0.250,3,HI EN EN EN EN EN HI EN
Next next Friday ko interview hai,numerical_entity,0.333,3,EN EN EN HI EN HI
Could you please follow the review baad mein tak chahiye,english_matrix_hindi_np,0.400,1,EN EN EN EN EN EN HI HI HI HI
I finished the email . ekdum acha laga,inter_sentential,0.375,1,EN EN EN EN EN HI HI HI
Kya tum update kar sakte ho,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
"The API was optional , yaar",tag_switching,0.167,1,EN EN EN EN EN HI
I finished the email . bahut zyada acha laga,inter_sentential,0.444,1,EN EN EN EN EN HI HI HI HI
"main watch karta hoon, tum dekho",hindi_matrix_english_verb,0.167,2,HI EN HI HI HI HI
"Aaj end of week tarikh hai, kal deadline hai",numerical_entity,0.333,2,HI EN EN EN HI HI HI HI HI
tum coffee dekh ke kaafi khush ho gaya,emotional_expression,0.125,2,HI EN HI HI HI HI HI HI
meri behen yeh sunke thoda shocked ho gaya,emotional_expression,0.125,2,HI HI HI HI HI EN HI HI
Please yeh install mat karo pehle,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
aap lunch ke liye kahan chalein abhi,everyday_conversation,0.143,2,HI EN HI HI HI HI HI
"arre , main yeh idea finish kar dunga",tag_switching,0.500,2,HI EN EN EN EN HI HI HI
Mera app khatam ho gaya,hindi_matrix_english_np,0.200,2,HI EN HI HI HI
This coffee is amazing . Mujhe nahi pasand,inter_sentential,0.375,1,EN EN EN EN EN HI HI HI
Can you watch this pehle ?,english_matrix_hindi_np,0.167,2,EN EN EN EN HI EN
Naya stream aa gaya hai,hindi_matrix_english_np,0.200,2,HI EN HI HI HI
deadline Saturday ko 10 AM par hai,numerical_entity,0.429,3,EN EN HI EN EN HI HI
Please send me the budget abhi,english_matrix_hindi_np,0.167,1,EN EN EN EN EN HI
mera bhai yeh sunke itna shocked ho gaya,emotional_expression,0.125,2,HI HI HI HI HI EN HI HI
"Main diet pe hoon, isliye dessert nahi lunga",everyday_conversation,0.250,4,HI EN HI HI HI EN HI HI
main khud charge kar lunga,hindi_matrix_english_verb,0.200,2,HI HI EN HI HI
Kya tum handle kar sakte ho,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
Naya stream aa gaya hai,hindi_matrix_english_np,0.200,2,HI EN HI HI HI
tension ho rahi hai . I didn't expect the coffee itna achha hoga,emotional_expression,0.462,3,EN HI HI HI EN EN EN EN EN EN HI HI HI
"The report is due baad mein , please check",english_matrix_hindi_np,0.222,2,EN EN EN EN HI HI EN EN EN
next Monday ko 10 AM tak submit karna hai,numerical_entity,0.444,3,EN EN HI EN EN HI HI HI HI
pagal ho jaaunga . The password was really important,inter_sentential,0.333,1,HI HI HI EN EN EN EN EN EN
"waise , I think the report is helpful",tag_switching,0.125,1,HI EN EN EN EN EN EN EN
"I'll search it parso , don't worry",english_matrix_hindi_np,0.143,2,EN EN EN HI EN EN EN
Is deployment mein problem aa rahi hai,hindi_matrix_english_np,0.143,2,HI EN HI HI HI HI HI
aap yeh sunke thoda shocked ho gaya,emotional_expression,0.143,2,HI HI HI HI EN HI HI
"arre , let's just cancel it aaj",tag_switching,0.286,2,HI EN EN EN EN EN HI
I was thinking we should send the party parso,english_matrix_hindi_np,0.111,1,EN EN EN EN EN EN EN EN HI
"Aaj 10th tarikh hai, kal deadline hai",numerical_entity,0.143,2,HI EN HI HI HI HI HI
"The project is due abhi , please check",english_matrix_hindi_np,0.125,2,EN EN EN EN HI EN EN EN
hum phone ki battery thoda jaldi khatam hoti hai,everyday_conversation,0.222,4,HI EN HI EN HI HI HI HI HI
"acha , let's just share it abhi",tag_switching,0.286,2,HI EN EN EN EN EN HI
Wednesday ko 10 AM se 6 PM wala slot available hai,numerical_entity,0.455,5,EN HI EN EN HI EN EN HI HI HI HI
budget Friday ko 3 PM par hai,numerical_entity,0.429,3,EN EN HI EN EN HI HI
"Sach mein, this routine ne mujhe kaafi khush kar diya",emotional_expression,0.200,2,HI HI EN EN HI HI HI HI HI HI
hum phone ki battery itna jaldi khatam hoti hai,everyday_conversation,0.222,4,HI EN HI EN HI HI HI HI HI
end of week tak payment kar dena,numerical_entity,0.429,1,EN EN EN HI HI HI HI
Tera chat bahut viral ho gaya,hindi_matrix_english_np,0.333,4,HI EN HI EN HI HI
I have a meeting aaj . main ready hoon,inter_sentential,0.333,5,EN EN EN EN HI EN HI EN HI
Make sure you discuss the code review parso,english_matrix_hindi_np,0.125,1,EN EN EN EN EN EN EN HI
Isko update karna hai subah subah,hindi_matrix_english_verb,0.167,2,HI EN HI HI HI HI
main khud post kar lunga,hindi_matrix_english_verb,0.200,2,HI HI EN HI HI
Friday evening ko 4:30 PM se 4 PM wala slot available hai,numerical_entity,0.500,5,EN EN HI EN EN HI EN EN HI HI HI HI
Please yeh finalize mat karo baad mein,hindi_matrix_english_verb,0.143,2,HI HI EN HI HI HI HI
Yeh connect karna zaroori hai,hindi_matrix_english_verb,0.200,2,HI EN HI HI HI
I finished the proposal . thoda acha laga,inter_sentential,0.375,1,EN EN EN EN EN HI HI HI
meri friend doctor se milna hai is hafte,everyday_conversation,0.125,2,HI HI EN HI HI HI HI HI
Friday ko 4 PM tak submit karna hai,numerical_entity,0.375,3,EN HI EN EN HI HI HI HI
tum podcast dekha kya,hindi_matrix_english_np,0.250,2,HI EN HI HI
"The subscription was valid , yaar",tag_switching,0.167,1,EN EN EN EN EN HI
pagal ho jaaunga after the song,emotional_expression,0.500,1,HI HI HI EN EN EN
yeh sunke bura laga . I didn't expect the coffee itna achha hoga,emotional_expression,0.462,2,HI HI HI HI EN EN EN EN EN EN HI HI HI
hum soch raha tha. The diet is really terrible,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
